seed,dt,error
47,4.85088067e-06,0.0026922030247322
48,4.85088067e-06,0.003212160543128
49,4.85088067e-06,0.0001929845678179
0,8.85088067e-06,0.0126335187203001
1,8.85088067e-06,0.0160813048273165
2,8.85088067e-06,0.0206407303697336
3,8.85088067e-06,0.0030504415979121
4,8.85088067e-06,0.0508365709122779
5,8.85088067e-06,0.0276047702758585
6,8.85088067e-06,0.0038328360111671
7,8.85088067e-06,0.0310509871879065
8,8.85088067e-06,0.0499995804695331
9,8.85088067e-06,0.0780212132435347
10,8.85088067e-06,0.0090256387966575
11,8.85088067e-06,0.0671997079847532
12,8.85088067e-06,0.0230212905580447
13,8.85088067e-06,0.039730129625507
14,8.85088067e-06,0.0337303947573845
15,8.85088067e-06,0.0176126406611863
16,8.85088067e-06,0.0251784121083864
17,8.85088067e-06,0.0689003937800773
18,8.85088067e-06,0.0113391015700813
19,8.85088067e-06,0.0203326909839933
20,8.85088067e-06,0.0203630641444243
21,8.85088067e-06,0.0257403490802942
22,8.85088067e-06,0.0208659044970947
23,8.85088067e-06,0.0119970989992968
24,8.85088067e-06,0.0087832774977918
25,8.85088067e-06,0.0112280064286788
26,8.85088067e-06,0.0341284439307391
27,8.85088067e-06,0.0245367622379738
28,8.85088067e-06,0.0101340667715657
29,8.85088067e-06,0.0594227287375795
30,8.85088067e-06,0.0446607062655599
31,8.85088067e-06,0.0218525363192407
32,8.85088067e-06,0.0224279402329724
33,8.85088067e-06,0.0234592374252305
34,8.85088067e-06,0.0137878704652056
35,8.85088067e-06,0.0019918684725071
36,8.85088067e-06,0.0339279337210635
37,8.85088067e-06,0.0506409904208502
38,8.85088067e-06,0.0584726914426613
39,8.85088067e-06,0.0485512951677878
40,8.85088067e-06,0.0071097437033452
41,8.85088067e-06,0.0140443931168505
42,8.85088067e-06,0.0452755508946344
43,8.85088067e-06,0.0165034592166528
44,8.85088067e-06,0.0320901447215019
45,8.85088067e-06,0.0299192706769768
46,8.85088067e-06,0.0163841682383924
47,8.85088067e-06,0.0153478876152287
48,8.85088067e-06,0.0250230704065412
49,8.85088067e-06,0.0186400718116439
0,1.93117038e-05,0.1368379759882964
1,1.93117038e-05,0.1276107102713334
2,1.93117038e-05,0.1879423668226212
3,1.93117038e-05,0.3052287762312403
4,1.93117038e-05,0.19141979743432
5,1.93117038e-05,0.4553129357253582
6,1.93117038e-05,0.2301509639489376
7,1.93117038e-05,0.2054316292704114
8,1.93117038e-05,0.3434866010238848
9,1.93117038e-05,0.1992792084739858
10,1.93117038e-05,0.5537665687964991
11,1.93117038e-05,0.0694744105194461
12,1.93117038e-05,0.3886523317172783
13,1.93117038e-05,0.1822119159764819
14,1.93117038e-05,0.3170056854231174
15,1.93117038e-05,0.4587955119580397
16,1.93117038e-05,0.0019983666797896
17,1.93117038e-05,0.3864841344303444
18,1.93117038e-05,0.0961063360177828
19,1.93117038e-05,0.3469004899427893
20,1.93117038e-05,0.0598821351247059
21,1.93117038e-05,0.0633231583404568
22,1.93117038e-05,0.2779279302310045
23,1.93117038e-05,0.0309539931290127
24,1.93117038e-05,0.0861923543797911
25,1.93117038e-05,0.2032547724400619
26,1.93117038e-05,0.1947032867242319
27,1.93117038e-05,0.08392447850014
28,1.93117038e-05,0.0557671875464203
29,1.93117038e-05,0.6373472308377744
30,1.93117038e-05,0.099067830024359
31,1.93117038e-05,0.0873092488815338
32,1.93117038e-05,0.3675942367704757
33,1.93117038e-05,0.3024725095604159
34,1.93117038e-05,0.4246603367909179
35,1.93117038e-05,0.2064586166571029
36,1.93117038e-05,0.1253226615585057
37,1.93117038e-05,0.1627108628255181
38,1.93117038e-05,0.1062517231884542
39,1.93117038e-05,0.0642004867536761
40,1.93117038e-05,0.3803897025535527
41,1.93117038e-05,0.4940719185684744
42,1.93117038e-05,0.012589251833059
43,1.93117038e-05,0.3063202477970226
44,1.93117038e-05,0.0546257826849422
45,1.93117038e-05,0.1528502240978898
46,1.93117038e-05,0.1675927299946097
47,1.93117038e-05,0.1529883711950308
48,1.93117038e-05,0.2004090316097043
49,1.93117038e-05,0.1463306382051233
0,4.85088067e-06,0.009206187489739894
0,4.85088067e-06,0.006430697191498238
0,4.85088067e-06,0.0034807650691055115
