seed dt integration_type
41 3.06069879e-07 "Omelyan1998"
42 3.06069879e-07 "Omelyan1998"
43 3.06069879e-07 "Omelyan1998"
44 3.06069879e-07 "Omelyan1998"
45 3.06069879e-07 "Omelyan1998"
46 3.06069879e-07 "Omelyan1998"
47 3.06069879e-07 "Omelyan1998"
48 3.06069879e-07 "Omelyan1998"
49 3.06069879e-07 "Omelyan1998"
0 4.96369887e-07 "Omelyan1998"
1 4.96369887e-07 "Omelyan1998"
2 4.96369887e-07 "Omelyan1998"
3 4.96369887e-07 "Omelyan1998"
4 4.96369887e-07 "Omelyan1998"
5 4.96369887e-07 "Omelyan1998"
6 4.96369887e-07 "Omelyan1998"
7 4.96369887e-07 "Omelyan1998"
8 4.96369887e-07 "Omelyan1998"
9 4.96369887e-07 "Omelyan1998"
10 4.96369887e-07 "Omelyan1998"
11 4.96369887e-07 "Omelyan1998"
12 4.96369887e-07 "Omelyan1998"
13 4.96369887e-07 "Omelyan1998"
14 4.96369887e-07 "Omelyan1998"
15 4.96369887e-07 "Omelyan1998"
16 4.96369887e-07 "Omelyan1998"
17 4.96369887e-07 "Omelyan1998"
18 4.96369887e-07 "Omelyan1998"
19 4.96369887e-07 "Omelyan1998"
20 4.96369887e-07 "Omelyan1998"
21 4.96369887e-07 "Omelyan1998"
22 4.96369887e-07 "Omelyan1998"
23 4.96369887e-07 "Omelyan1998"
24 4.96369887e-07 "Omelyan1998"
25 4.96369887e-07 "Omelyan1998"
26 4.96369887e-07 "Omelyan1998"
27 4.96369887e-07 "Omelyan1998"
28 4.96369887e-07 "Omelyan1998"
29 4.96369887e-07 "Omelyan1998"
30 4.96369887e-07 "Omelyan1998"
31 4.96369887e-07 "Omelyan1998"
32 4.96369887e-07 "Omelyan1998"
33 4.96369887e-07 "Omelyan1998"
34 4.96369887e-07 "Omelyan1998"
35 4.96369887e-07 "Omelyan1998"
36 4.96369887e-07 "Omelyan1998"
37 4.96369887e-07 "Omelyan1998"
38 4.96369887e-07 "Omelyan1998"
39 4.96369887e-07 "Omelyan1998"
40 4.96369887e-07 "Omelyan1998"
41 4.96369887e-07 "Omelyan1998"
42 4.96369887e-07 "Omelyan1998"
43 4.96369887e-07 "Omelyan1998"
44 4.96369887e-07 "Omelyan1998"
45 4.96369887e-07 "Omelyan1998"
46 4.96369887e-07 "Omelyan1998"
